SampleName,GWC,TDR,pH,NO3N,NH4N,Tnpercent,Tcpercent,DayOfSample,MonthlyTemperatureAt7.5cm,3dayTemperatureAt7.5cm,MonthlyAirTemp,SoilResp,HeteroResp,RootResp,DayOfResp,ER,GPP,NEE,YearOfNEE,DayOfNEE,Rain,DNA_yield_ND,DNA_yield_PG,MQ_ND,MQ_PG,Year,MQ_PG
M01_C1,0.105263158,3.7,6.56,6.51,14.78,0.089,0.819,14,5.869456653,2.067809028,6.333333333,0.74,0.37,0.37,15,0.379102335,2.129593479,-1.750491144,2012,15,35.052,53.77,37.62,0.00688116,0.009835194,2012,0.009835194
M01_C2,0.117647059,5.683,5.94,1.3465,15.03,0.109,1.199,14,6.941604167,4.841454861,6.333333333,2.4,0.13,2.27,15,2.795308255,4.040881836,-1.245573582,2012,15,35.052,44.53,30.5,0.00291938,0.004262295,2012,0.004262295
M01_C3,0.1,7.55,6.2,1.0555,9.99,0.073,0.695,14,6.933406586,5.240701389,6.333333333,1.62,0.11,1.51,15,2.027538361,5.722895626,-3.695357265,2012,15,35.052,53.21,34.65,0.002067281,0.003174603,2012,0.003174603
M01_C4,0.06,5.733,6.32,1.218,11.55,0.075,0.744,14,6.055707325,3.525993056,6.333333333,3.32,0.74,2.58,15,3.968206671,7.627030711,-3.65882404,2012,15,35.052,20.57,15.11,0.03597472,0.048974189,2012,0.048974189
M01_H1,0.067307692,3.55,6.51,1.953,8.58,0.056,0.526,14,10.93969892,8.263243056,6.333333333,1.14,0.24,0.9,15,1.742174957,5.10094576,-3.358770804,2012,15,35.052,37.42,37.67,0.006413683,0.006371118,2012,0.006371118
M01_H2,0.038834951,4.183,6.89,1.376,8.2,0.069,0.734,14,10.90301478,8.474277778,6.333333333,1.28,0.48,0.8,15,3.111517407,6.241211097,-3.12969369,2012,15,35.052,37.25,25.05,0.012885906,0.019161677,2012,0.019161677
M01_H3,0.03960396,8.433,6.48,1.2045,14.385,0.072,0.614,14,11.05056653,8.194175926,6.333333333,1.47,0.4,1.07,15,0.804798159,3.487920238,-1.017066907,2012,15,35.052,34.89,31.16,0.011464603,0.01283697,2012,0.01283697
M01_H4,0.038834951,4.65,6.2,1.4725,8.51,0.072,0.599,14,11.31164651,7.845006944,6.333333333,2.55,2.88,0,15,2.470853332,3.106131338,-2.301333179,2012,15,35.052,25.92,22.91,0.111111111,0.125709297,2012,0.125709297
M02_C1,0.108910891,9.15,6.51,1.7865,11.225,0.116,1.213,50,7.750766523,8.956979167,7.333333333,3.62,1.05,2.57,50,0.778530865,4.175093607,-3.396562742,2011,53,28.956,88.92,38.05,0.011808367,0.027595269,2012,0.027595269
M02_C2,0.123809524,9,7.03,0.8535,10.19,0.068,0.595,50,8.618010776,9.397326389,7.333333333,4.01,0.34,3.67,50,3.539156924,7.799616433,-4.260459509,2011,53,28.956,33.25,17.99,0.010225564,0.018899389,2012,0.018899389
M02_C3,0.138613861,7.35,6.23,0.8365,8.725,0.065,0.558,50,8.445304098,9.014756944,7.333333333,3.815,0.695,3.12,50,1.23751632,1.994064459,-0.756548139,2011,53,28.956,20.01,15.42,0.034732634,0.045071336,2012,0.045071336
M02_C4,0.101010101,9.45,6.08,1.2045,9.65,0.075,0.752,50,8.069023005,8.861444444,7.333333333,3.815,0.695,3.12,50,1.88600331,2.731599928,-0.845596619,2011,53,28.956,44.26,28.94,0.015702666,0.024015204,2012,0.024015204
M02_H1,0.067961165,8.6,6.46,1.626,9.035,0.051,0.441,50,12.1464551,12.8675,7.333333333,3.02,1.5,1.52,50,1.816137391,4.74196761,-2.925830219,2011,53,28.956,36,15.58,0.041666667,0.096277279,2012,0.096277279
M02_H2,0.04950495,3.55,6.99,1.0925,10.835,0.105,0.919,50,12.57144001,13.02059028,7.333333333,3.01,0.58,2.43,50,3.408561097,6.784941718,-3.37638062,2011,53,28.956,34.32,26.33,0.016899767,0.022028105,2012,0.022028105
M02_H3,0.059405941,10.6,6.49,0.8315,9.97,0.057,0.601,50,9.244572969,11.88139815,7.333333333,3.015,1.04,1.975,50,1.38963824,4.600276339,-1.510813559,2011,53,28.956,23.91,18.39,0.043496445,0.056552474,2012,0.056552474
M02_H4,0.107843137,7.15,6.77,0.972,11.86,0.082,0.881,50,9.138468728,9.756104167,7.333333333,3.015,1.04,1.975,50,3.08946278,2.840684774,-1.451046534,2011,53,28.956,37.72,21.17,0.02757158,0.049126122,2012,0.049126122
M03_C1,0.091836735,15.15,6.82,0.8095,8.605,0.052,0.559,78,14.43851613,17.90423611,15.33333333,6.26,1.39,4.87,73,17.10398126,22.11836511,-5.014383857,2012,73,156.21,31.32,18.5,0.044380587,0.075135135,2012,0.075135135
M03_C2,0.090909091,15,6.75,0.8365,8.17,0.051,0.451,78,14.22948925,16.96215278,15.33333333,4.87,0.35,4.52,73,12.6975834,20.52232262,-7.824739217,2012,73,156.21,25.11,18.66,0.01393867,0.018756699,2012,0.018756699
M03_C3,0.123809524,13.35,6.74,0.8505,7.935,0.093,0.913,78,14.25288552,17.06590278,15.33333333,7.82,1.01,6.81,73,16.43408599,20.92609985,-4.492013851,2012,73,156.21,40.07,30.36,0.02520589,0.033267457,2012,0.033267457
M03_C4,0.090909091,15.45,6.64,3.7315,12.005,0.074,0.862,78,14.60735926,17.92114583,15.33333333,5.25,2.33,2.92,73,11.13094168,9.409847553,1.721094125,2012,73,156.21,76.37,48.86,0.030509362,0.04768727,2012,0.04768727
M03_H1,0.03,14.6,6.67,1.0575,7.71,0.062,0.583,78,17.97778226,20.82857639,15.33333333,3.37,1.98,1.39,73,14.34328329,25.29854121,-10.95525793,2012,73,156.21,46.09,34.9,0.042959427,0.056733524,2012,0.056733524
M03_H2,0.057142857,9.55,6.85,0.796,9.255,0.067,0.823,78,18.5112164,21.10722222,15.33333333,6.61,2.15,4.46,73,8.417799786,8.297640171,0.120159614,2012,73,156.21,151.88,102.41,0.014155913,0.020994044,2012,0.020994044
M03_H3,0.078431373,16.6,6.64,0.9365,11.38,0.087,1.047,78,16.54771717,21.2453588,15.33333333,5.75,2.56,3.19,73,6.470828693,3.412761764,-1.493120846,2012,73,156.21,56.72,44.65,0.045133992,0.057334826,2012,0.057334826
M03_H4,0.112244898,13.15,6.78,1.3125,10.99,0.078,0.853,78,17.54778552,21.80027778,15.33333333,5.91,3.54,2.37,73,1.919640918,6.697777662,-0.22694897,2012,73,156.21,21.95,18.76,0.161275626,0.045020798,2012,0.18869936
M04_C1,0.041237113,13.85,6.5,0.921,8.215,0.049,0.494,109,17.02264964,15.20642361,18.22222222,5.06,1.56,3.5,112,11.83978253,9.14066772,2.699114812,2012,118,48.26,76.8,58.38,0.0203125,0.02672148,2012,0.02672148
M04_C2,0.040816327,14.2,6.53,1.045,10.96,0.06,0.778,109,17.76448175,16.55211805,18.22222222,3.83,0.52,3.31,112,4.448628436,3.751082831,0.697545605,2012,118,48.26,52.9,42.65,0.009829868,0.012192263,2012,0.012192263
M04_C3,0.05,11.1,6.83,0.8795,11.085,0.095,1.076,109,17.63198749,16.73239583,18.22222222,4.59,1.58,3.01,112,6.132945083,5.553426841,0.579518242,2012,118,48.26,140.4,98.04,0.011253561,0.016115871,2012,0.016115871
M04_C4,0.081632653,12.6,6.26,1.135,8.755,0.051,0.698,109,17.75420431,16.70493056,18.22222222,4.66,1.24,3.42,112,2.059772139,2.564223864,-0.504451724,2012,118,48.26,33.4,25.02,0.037125749,0.049560352,2012,0.049560352
M04_H1,0.030612245,12.95,6.44,1.1545,9.525,0.068,0.836,109,21.16665328,20.84756945,18.22222222,3.22,1.15,2.07,112,3.277690716,2.278969532,0.998721184,2012,118,48.26,94,66.26,0.012234043,0.017355871,2012,0.017355871
M04_H2,0.038461538,12.55,6.9,1.4785,13.095,0.103,1.102,109,22.05330292,21.72850695,18.22222222,3.84,1.66,2.18,112,2.859120277,1.811713524,1.047406753,2012,118,48.26,137.2,93.67,0.012099125,0.017721789,2012,0.017721789
M04_H3,0.042553191,13.5,6.52,4.7405,18.515,0.135,1.515,109,20.62700486,21.43813658,18.22222222,8.71,1.91,6.8,112,3.726188952,1.565960525,-1.231622615,2012,118,48.26,68,46.5,0.028088235,0.041075269,2012,0.041075269
M04_H4,0.04950495,11.3,6.78,2.619,10.515,0.078,0.933,109,22.2395066,21.73833333,18.22222222,4.16,1.98,2.18,112,0.334337909,3.357336996,0.368851957,2012,118,48.26,59.9,47.69,0.033055092,0.041518138,2012,0.041518138
M05_C1,0.089108911,9.117,6.67,6.53,11.355,0.083,0.876,136,21.34893114,17.8921875,22.22222222,2.34,0.78,1.56,140,0.568685217,1.11510715,-0.546421933,2012,140,89.154,67.4,47.11,0.0115727,0.016556994,2012,0.016556994
M05_C2,0.12,10.817,6.4,11.06,10.56,0.08,0.801,136,21.78364166,19.18312004,22.22222222,2.11,0.11,2,140,0.191834159,0.337298805,-0.145464646,2012,140,89.154,40.83,30.95,0.002694097,0.00355412,2012,0.00355412
M05_C3,0.12745098,9.417,6.39,5.26,11.775,0.092,1.096,136,21.36440131,18.94107822,22.22222222,4.2,1.1,3.1,140,0.498991573,1.096309882,-0.597318309,2012,140,89.154,25.5,18.65,0.043137255,0.058981233,2012,0.058981233
M05_C4,0.079207921,10.267,6.55,1.6315,8.125,0.08,0.895,136,21.60194122,18.63499817,22.22222222,2.84,0.95,1.89,140,2.174426586,1.651689677,0.522736909,2012,140,89.154,36.3,26.9,0.026170799,0.035315985,2012,0.035315985
M05_H1,0.097087379,8.667,6.23,3.1895,8.67,0.043,0.492,136,25.2877321,21.77517857,22.22222222,1.71,1.03,0.68,140,1.448488807,1.405409125,0.043079681,2012,140,89.154,31.1,25.48,0.033118971,0.040423862,2012,0.040423862
M05_H2,0.106796117,9.067,6.54,10.17,10.265,0.079,0.946,136,26.47731415,23.36013393,22.22222222,2.29,0.97,1.32,140,1.181080911,0.474105014,0.706975897,2012,140,89.154,49.4,40.04,0.019635628,0.024225774,2012,0.024225774
M05_H3,0.104761905,10.5,6.45,5.835,9.375,0.065,0.725,136,25.92310595,23.16424342,22.22222222,4.54,2.56,1.98,140,0.729518982,0.684266657,-0.200389584,2012,140,89.154,64.9,42.21,0.0394453,0.060649135,2012,0.060649135
M05_H4,0.076923077,8.333,6.55,16.805,13.44,0.078,0.887,136,28.0945283,24.35741776,22.22222222,1.87,1.39,0.48,140,0.483877073,0.615391652,0.114127329,2012,140,89.154,124.6,88.3,0.011155698,0.015741789,2012,0.015741789
M06_C1,0.166666667,18.55,6.35,7.79,7.145,0.054,0.528,165,25.22376389,24.16517361,25.61111111,4.5,1.31,3.19,169,3.621346844,3.562418,0.058928844,2012,169,73.66,64.9,46.8,0.0201849,0.027991453,2012,0.027991453
